,id,hash,series_id,tournament_id,event_id,version,minor_version,dataset_id,dataset_version,platform_id,ladder_id,rated,winning_team_id,builtin_map_id,map_size_id,map_name,event_map_id,rms_zr,rms_custom,rms_seed,guard_state,fixed_positions,direct_placement,effect_quantity,played,added,platform_match_id,duration,completed,restored,postgame,type_id,difficulty_id,population_limit,map_reveal_choice_id,cheats,speed_id,lock_teams,mirror,diplomacy_type,team_size,starting_resources_id,starting_age_id,victory_condition_id,team_together,all_technologies,lock_speed,multiqueue,lobby_name,treaty_length,build,map_tiles,has_playback,game_version,save_version,version_id,hc,starting_palisades,starting_town_centers,starting_walls,state_reader_interval,state_reader_runtime,state_reader_version,platform_metadata,water_percent,lobby_private,lobby_opened,server,log_version
0,1311217,6ffb614e8ff8bfdff8047b132681ebefba4f4967,,,,userpatch 1.5,11.76,1,5.8.1,voobly,181,True,1,,120,MegaRandom (WCL 7),357.0,False,True,-181935195,False,False,False,False,2020-01-10 16:48:07.006118,2020-01-10 17:11:09.811617,21168675,0 days 00:28:15.944000000,True,False,True,0,3,200,0,False,178,True,False,1v1,1v1,0,0,1,True,False,True,,,,,<memory at 0x11e6a0390>,,VER 9.F,11.76,20,False,,,,,,,,,,,,
1,1311219,11bf447b1461fa3e3670e3d6e54b7948b86e9ba8,,,,userpatch 1.5,11.76,0,1.0c,voobly,181,True,1,33.0,168,Nomad,,False,False,-1438701568,False,False,False,False,2020-01-10 16:29:14.119776,2020-01-10 17:11:16.471028,21168605,0 days 00:49:06.764000000,True,False,True,0,3,225,0,False,178,True,False,TG,2v2,0,0,1,True,False,True,,,,,<memory at 0x11e6a0600>,,VER 9.F,11.76,20,False,,,,,,,,,,,,
2,1311220,f6e329a859f7a220147a8ce86e49bc8c082cdb39,,,,userpatch 1.5,11.76,0,1.0c,voobly,101,True,0,9.0,120,Arabia,,False,False,-1515728270,False,False,False,False,2020-01-10 17:09:19.384206,2020-01-10 17:11:20.465496,21168753,0 days 00:25:58.154000000,True,False,True,0,3,200,0,False,178,True,False,1v1,1v1,0,0,0,True,False,True,,,,,<memory at 0x11e6a06d0>,,VER 9.F,11.76,20,False,,,,,,,,,,,,
3,1311221,c2af2d3fada4fdf7db5109d0185f85fbc53928b4,,,,userpatch 1.5,11.76,0,1.0c,voobly,101,True,1,,120,Green Arabia,,False,True,1939204002,False,False,False,False,2020-01-10 17:06:28.791553,2020-01-10 17:11:29.908224,21168738,0 days 00:42:31.220000000,True,False,True,0,1,225,0,False,178,True,False,1v1,1v1,0,0,0,True,False,True,,,,,<memory at 0x11e6a07a0>,,VER 9.F,11.76,20,False,,,,,,,,,,,,
4,1311222,4060881c442dbd1f2549686e3536e7fccc8969e3,,,,userpatch 1.5,11.76,0,1.0c,voobly,101,True,0,,120,HC2_Arabia,41.0,False,True,-1406358648,False,False,False,False,2020-01-10 17:05:31.265809,2020-01-10 17:11:32.338295,21168735,0 days 00:35:42.074000000,True,False,True,0,3,200,0,False,178,True,False,1v1,1v1,0,0,1,True,False,True,,,,,<memory at 0x11e6a0870>,,VER 9.F,11.76,20,False,,,,,,,,,,,,
5,1311223,0ec5a9c484b2c27473afc25dba6bbb84f30a58bb,,,,userpatch 1.5,11.76,1,5.8.1,voobly,101,True,0,,120,AV_Arabia,,False,True,16297314,False,False,False,True,2020-01-10 17:03:33.597012,2020-01-10 17:11:35.189830,21168728,0 days 01:01:36.500000000,True,False,True,0,0,200,0,False,178,True,False,1v1,1v1,0,0,0,True,False,True,,,,,<memory at 0x11e6a0940>,,VER 9.F,11.76,20,False,,,,,,,,,,,,
6,1311224,7a6f45a6e502c5a84175504c143143da4d139252,,,,userpatch 1.5,11.76,0,1.0c,voobly,101,True,1,9.0,120,Arabia,,False,False,1908001851,False,False,False,False,2020-01-10 17:03:36.825397,2020-01-10 17:11:38.357499,21168727,0 days 01:01:07.904000000,True,False,True,0,4,200,0,False,178,True,False,1v1,1v1,0,0,1,True,False,True,,,,,<memory at 0x11e6a0a10>,,VER 9.F,11.76,20,False,,,,,,,,,,,,
7,1311225,b143602032eacef0d4e3d5c5baa769b59a83f458,,,,userpatch 1.5,11.76,0,1.0c,voobly,101,True,1,9.0,120,Arabia,,False,False,1323745936,False,False,False,False,2020-01-10 17:03:40.058031,2020-01-10 17:11:41.252572,21168726,0 days 01:05:02.786000000,True,False,True,0,2,200,0,False,178,True,False,1v1,1v1,0,0,1,True,False,True,,,,,<memory at 0x11e6a0ae0>,,VER 9.F,11.76,20,False,,,,,,,,,,,,
8,1311226,44c84f2c4dd873fd4116048a7775be5fc476805a,,,,userpatch 1.5,11.76,0,1.0c,voobly,101,True,1,9.0,120,Arabia,,False,False,567228585,False,False,False,False,2020-01-10 16:58:42.975052,2020-01-10 17:11:44.278745,21168715,0 days 00:55:41.294000000,True,False,True,0,0,200,0,False,178,True,False,1v1,1v1,0,0,1,True,False,True,,,,,<memory at 0x11e6a0bb0>,,VER 9.F,11.76,20,False,,,,,,,,,,,,
9,1311227,85027b08d555d5fc7ad3f9895a2c550c87295f24,,,,userpatch 1.5,11.76,1,5.8.1,voobly,101,True,0,9.0,120,Arabia,,False,False,-1031719583,False,False,False,False,2020-01-10 16:58:45.987863,2020-01-10 17:11:47.362850,21168713,0 days 00:40:58.292000000,True,False,True,0,2,200,0,False,178,True,False,1v1,1v1,0,0,1,True,False,True,,,,,<memory at 0x11e6a0c80>,,VER 9.F,11.76,20,False,,,,,,,,,,,,
